video,encoded_label
MVI_5178.MOV,0
MVI_5178.MOV,0
MVI_5178.MOV,0
MVI_5178.MOV,0
MVI_5178.MOV,0
MVI_5178.MOV,0
MVI_5178.MOV,0
MVI_5178.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5179.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5258.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5259.MOV,0
MVI_5335.MOV,0
MVI_5335.MOV,0
MVI_5335.MOV,0
MVI_5335.MOV,0
MVI_5335.MOV,0
MVI_5335.MOV,0
MVI_5335.MOV,0
MVI_5336.MOV,0
MVI_5336.MOV,0
MVI_5336.MOV,0
MVI_5336.MOV,0
MVI_5336.MOV,0
MVI_5336.MOV,0
MVI_9289.MOV,0
MVI_9289.MOV,0
MVI_9289.MOV,0
MVI_9289.MOV,0
MVI_9289.MOV,0
MVI_9289.MOV,0
MVI_9289.MOV,0
MVI_9289.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9290.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9291.MOV,0
MVI_9368.MOV,0
MVI_9368.MOV,0
MVI_9368.MOV,0
MVI_9368.MOV,0
MVI_9368.MOV,0
MVI_9368.MOV,0
MVI_9448.MOV,0
MVI_9448.MOV,0
MVI_9448.MOV,0
MVI_9448.MOV,0
MVI_9448.MOV,0
MVI_9448.MOV,0
MVI_9448.MOV,0
MVI_9449.MOV,0
MVI_9449.MOV,0
MVI_9449.MOV,0
MVI_9449.MOV,0
MVI_9449.MOV,0
MVI_9450.MOV,0
MVI_9450.MOV,0
MVI_9450.MOV,0
MVI_9450.MOV,0
MVI_9450.MOV,0
MVI_9450.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9535.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_9536.MOV,0
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5180.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5181.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5182.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5260.MOV,1
MVI_5261.MOV,1
MVI_5261.MOV,1
MVI_5261.MOV,1
MVI_5261.MOV,1
MVI_5261.MOV,1
MVI_5261.MOV,1
MVI_5261.MOV,1
